ID,SMILES,pred_value,QED
1,CCC1C(=O)C(CC)C23OC(S)C(OC)C(=O)C(CCCl)CC(CCCl)C(=O)C2OC1OC(C)C3(C=O)CC,0.522,0.23310987665502628
2,CCC1C(=O)C2OC(C3OC(S)C(C)C3=O)CC3OC4CC5(C)C(=O)C(N)C5(C)OC42C1(O)C3OC,0.597,0.4295433031936921
3,CCC1OC2(C1CC)C1OC3C4CC(N)C(=O)C(OC)C(=O)C(OC)C(=O)C(C)C(S)OC32C1O4,0.521,0.3974488155778347
4,CCC1OC2C34OC5C(O)C(=O)C3(C)C23OC(S)C(CC)C(=O)C(O)C(=O)C(OC)C(OC14)C(C)C(=O)C53OC,0.578,0.27852303091438135
5,CCC1C(=O)C(CCCl)C(=O)C(OC)C(=O)C(C)C(S)OC2(CC)C3OC1C(C)CC2(CC)C3=O,0.617,0.3165750461502469
6,COC(C(=O)S)C(=O)C(O)C1OC23CC4C(C)C(=O)C25OC(C(N)CC3CCCl)C(CCCl)C(OC45C)C1OC,0.539,0.18486731694941355
7,CCC1CC(N)C2(O)C(O)(C(=O)S)C(=O)C(N)C(=O)C(CCCl)C(=O)C(C)C1OC1C(CC)C(=O)C2(OC)C(C)C1C,0.602,0.15626418266200506
8,CCC12OC(S)CC(=O)C(C)C(=O)C(N)C13OC1CC4C2OC(C(N)CC(OC)C(=O)C14C)C3N,0.573,0.27996360572149603
9,CCC1CC(CCCl)C(=O)C2(OC)C(=O)C3OC(C)C(OC(S)C(CCCl)C3=O)C12O,0.549,0.32980746819569334
10,CCC(=O)C1OC(S)C(CCCl)C(=O)C(OC)C2CC3OC14CCC(C)CC4(O2)C(=O)C3CC,0.62,0.4264959382247493
11,CCC(C)C1C(N)CC1(CCCl)C1OC2C(CCCl)C(=O)C(C)C(=O)CC(C(CC)C(=O)S)OC2C(=O)C1N,0.505,0.19542591528207162
12,CCC1C(=O)C(CCCl)CC(CCCl)C2OC3(C(C)CCC3OC(C(O)C(=O)S)C2O)C2(C)C(=O)C(O)C12O,0.57,0.2140014931089247
13,CCC1C(=O)C(CCCl)C(C(C)C(=O)S)OC23CC4OC5(CC1OC5(C)C42CCCl)C(OC)CC(C)C(=O)C3N,0.603,0.31211125089425074
14,CCC1C2C(C)CCC3(O)C(C)(C(=O)S)C(=O)C(OC)C4OC35C(=O)C(CCCl)C(OC(C)C2(CCCl)C15O)C4C,0.612,0.22085709918830473
15,CCC1C(OC)C2OC(CC(=O)S)C(OC)C(=O)CC3OC(CCC12CCCl)C(C)CC(OC)C(=O)C3O,0.619,0.33098480810704656
16,COC12CC(C)C13OC1C(CCCl)C(=O)C(O)CC(CCCl)C2(O)C3(C(=O)C(C)C=O)OC(C(C)C(=O)S)C1C,0.589,0.14508916943230127
17,CCC1OC(C(CCCl)C(=O)C(N)C(=O)S)C2OC3CCC(C)C(OC4(C(C)CC34CCCl)C1CC)C(C)C2=O,0.565,0.201990975874522
18,CCc1cc(O)c(C)c(O)c1C12OC(S)C(O)C(=O)C(O)C(=O)C(C)CC1(CCCl)C(=O)C2N,0.509,0.19341333277083975
19,CCC1C(=O)C2OC3C(N)C(=O)C(N)C4(CCC(OC)(C2=O)C1C)OC(C3OC)C(CC)C4(O)C(OC)C(=O)S,0.606,0.2184965207740088
20,CCC1C(=O)CC2OC(S)C(OC)C(=O)C(O)C(=O)C(OC)C(=O)C(CCCl)C(=O)C2(OC)C(O)C(CC)C1=O,0.518,0.19858916104125554
21,COC1C(C)C2C1OC1C(O)C3OC(S)C(O)C(=O)C(CCCl)C(=O)CC(=O)C(CCCl)C(=O)C1(CCCl)C2(O)C3O,0.588,0.14244402045547022
22,CCC1C(=O)C(CCCl)C(=O)C2(OC(C)C(N)CC(N)C2=O)C1(O)S,0.525,0.2260467684530189
23,CCC1CC23OC4CC(CC(=O)C(CC)C(=O)C(OC)C(S)O1)OC2C(=O)C43C,0.525,0.5446256531140884
24,CCC(C(=O)S)C(=O)C1(CCCl)C(=O)C(OC)C2OC3CC(C(C)C(=O)C(N)CC2N)C(CC)(CC3CCCl)C1(C)O,0.544,0.15827650003556357
25,COC1CC(C)C(=O)C(N)C(S)OC23CC(CC2C)C3(N)C2CC(=O)CC(=O)C(O)C1O2,0.583,0.3003373908452546
26,CCC1CC(C)C(=O)C(OC)C(=O)CC(=O)C(N)C(S)OC2CCC3(CCCl)C(CC1=O)OC3(C)C2N,0.591,0.2664441705447252
