mol_id,smiles,antibacterial
9,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,
16,CC(=O)NC(CS)C(=O)O,
20,Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O,
21,CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21,
22,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,
27,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,
40,CC(C)C(N)C(=O)OCC(CO)OCn1cnc2c(=O)nc(N)[nH]c21,
62,CCC(CC)OC1C=C(C(=O)O)CC(N)C1NC(C)=O,
64,CC(=O)NC(CS)C(=O)[O-],
66,COC(=O)NC(C(=O)N1CCCC1c1ncc(-c2ccc(-c3ccc(-c4cnc(C5CCCN5C(=O)C(NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,
67,COC(=O)NC(C(=O)N1CCCC1c1ncc(-c2ccc(-c3ccc(-c4cnc(C5CCCN5C(=O)C(NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C.Cl.Cl,
73,COC(=O)NC(C(=O)N1CCCC1C(=O)Nc1ccc(C2CCC(c3ccc(NC(=O)C4CCCN4C(=O)C(NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,
74,Cc1cnc(C(=O)NC2CCCCCC=CC3CC3(C(=O)NS(=O)(=O)C3CC3)NC(=O)C3CC(Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,
75,CCC(CC)C(NC(C)=O)C1C(NC(=N)N)CC(C(=O)O)C1O.O.O.O.O,
76,CCC(CC)C(NC(C)=O)C1C(NC(=N)N)CC(C(=O)O)C1O,
77,CC(C)OC(=O)C(C)NP(=O)(COC(C)Cn1cnc2c(N)ncnc21)Oc1ccccc1.CC(C)OC(=O)C(C)NP(=O)(COC(C)Cn1cnc2c(N)ncnc21)Oc1ccccc1.O=C(O)C=CC(=O)O,
78,CC(C)OC(=O)C(C)NP(=O)(COC(C)Cn1cnc2c(N)ncnc21)Oc1ccccc1,
82,COC(=O)NC(C(=O)N1CCCC1c1ncc(-c2ccc3c(c2)OC(c2ccccc2)n2c-3cc3cc(-c4cnc(C5CCCN5C(=O)C(NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,
83,C=CC1CC1(NC(=O)C1CC2CN1C(=O)C(C(C)(C)C)NC(=O)OC1CC1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,
87,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1.Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O,
88,CCC(CC)COC(=O)C(C)NP(=O)(OCC1OC(C#N)(c2ccc3c(N)ncnn23)C(O)C1O)Oc1ccccc1,
134,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,
135,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,
174,Cc1cc(C(=O)NC(C)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C=CC(=O)OCc2ccccc2)CC2CCNC2=O)C(C)C)no1,
178,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,
221,CN1C(=O)C(c2cc(Cl)c(O)c(Cl)c2)NC(=O)C2NC(=O)C(c3cc(Cl)c(O)c(Cl)c3)NC(=O)C(NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)Cc3c[nH]c4c(cccc34)-c3cc2cc(c3O)Oc2ccc(cc2)CC1C(=O)NC(C(=O)O)c1ccc(O)cc1,
222,CN1C(=O)C(c2cc(Cl)c(O)c(Cl)c2)NC(=O)C2NC(=O)C(c3cc(Cl)c(O)c(Cl)c3)NC(=O)C(NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)Cc3c[nH]c4cc(ccc34)-c3cc2cc(c3O)Oc2ccc(cc2)CC1C(=O)NC(C(=O)O)c1ccc(O)cc1,1
227,CN1C(=O)C(c2cc(Cl)c(O)c(Cl)c2)NC(=O)C2NC(=O)C(c3cc(Cl)c(O)c(Cl)c3)NC(=O)C(NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)CC3C(=O)Nc4cc(ccc43)-c3cc2cc(c3O)Oc2ccc(cc2)CC1C(=O)NC(C(=O)O)c1ccc(O)cc1,
228,CN1C(=O)C(c2cc(Cl)c(O)c(Cl)c2)NC(=O)C2NC(=O)C(c3cc(Cl)c(O)c(Cl)c3)NC(=O)C(NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)CC3(O)C(=O)Nc4cc(ccc43)-c3cc2cc(c3O)Oc2ccc(cc2)CC1C(=O)NC(C(=O)O)c1ccc(O)cc1,
367,NC1CONC1=O,15
391,CC(=O)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,
394,CN1CC(O)CC1C(=O)O,
400,[N-]=[N+]=CC(=O)CCC(N)C(=O)O,1
419,CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(Cc1ccccc1)NC(=O)C(COC(C)(C)C)NC(=O)OCc1ccccc1,
421,CC(C)(C)OC(=O)Nc1cccn(C(CC2CC2)C(=O)NC(CC2CCNC2=O)C(O)C(=O)NCc2ccccc2)c1=O,
432,CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CO)NC(=O)OC(C)(C)C)C(C)C,
444,CC(=O)NC1C(=O)N(CCN2CCOCC2)c2ccc(F)cc21.Cl,
446,COc1cccc(C(C(=O)NCc2ccco2)N(Cc2ccco2)C(=O)Cn2nnc3ccccc32)c1,
449,CC(=O)NC1C(=O)N(CCN2CCOCC2)c2ccc(Br)cc21.Cl,
465,COc1ccc(N(C(=O)Cn2nnc3ccccc32)C2(C(=O)NC3CCCC3)CCCCC2)cc1,
472,Cc1cc(C)c(N(C(=O)Cn2nnc3ccccc32)C(C(=O)NC(C)(C)C)c2ccsc2)c(C)c1,
473,CCc1ccc2c(c1)C(NC(C)=O)C(=O)N2CCN1CCOCC1.Cl,
493,CCOC(=O)C1NC1C(=O)NCC(=O)NCC(=O)OCc1ccccc1,
499,CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)OCc1ccccc1)C(C)OC(C)(C)C,
501,CC(OC(C)(C)C)C(NC(=O)OCc1ccccc1)C(=O)NC(CC1CCCCC1)C(=O)NC(C=O)CC1CCNC1=O,
502,CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)OCc1ccccc1)C(C)C,
527,CC(C)CC(NC(=O)C(Cc1cccc2ccccc12)NC(=O)OCc1ccccc1)C(=O)NC(C=O)CC1CCNC1=O,
528,CC(C)CC(NC(=O)C(Cc1cccc2ccccc12)NC(=O)OCc1ccccc1)C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)C,
530,CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)OCc1ccccc1)C(C)C,
562,CC(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)O)C(C)O,
563,CC(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)O)C(C)O,
570,CC(C)CC(NC(=O)OC1(Cc2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)C(=O)NC(C=O)CC1CCNC1=O,
571,CC(C)CC(NC(=O)OC1(Cc2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],
572,CCOC(=O)N1CCC(OC(=O)NC(CC(C)C)C(=O)NC(CC2CCNC2=O)C(O)S(=O)(=O)[O-])CC1.[Na+],
573,CC(C)CC(NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],
574,CC(C)CC(NC(=O)OC1(Cc2ccccc2)CCN(S(C)(=O)=O)CC1)C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],
575,CC(C)CC(NC(=O)OC1CCN(S(C)(=O)=O)CC1)C(=O)NC(C=O)CC1CCNC1=O,
576,CCC1(OC(=O)NC(CC(C)C)C(=O)NC(C=O)CC2CCNC2=O)CCN(C(=O)OC(C)(C)C)CC1,
577,CC(C)CC(NC(=O)OC1CCN(S(C)(=O)=O)CC1)C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],
578,CC(C)CC(NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)NC(C=O)CC1CCNC1=O,
